"year","state_abbr","state_name","population","violent_crime","homicide","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft"
1979,"USA","USA",220099000,1208030,21460,76390,NA,480700,629480,11041500,3327700,6601000,1112800
1980,"USA","USA",225349264,1344520,23040,82990,NA,565840,672650,12063700,3795200,7136900,1131700
1981,"USA","USA",229465714,1361820,22520,82500,NA,592910,663900,12061900,3779700,7194400,1087800
1982,"USA","USA",231664458,1322390,21010,78770,NA,553130,669480,11652000,3447100,7142500,1062400
1983,"USA","USA",233791994,1258087,19308,78918,NA,506567,653294,10850543,3129851,6712759,1007933
1984,"USA","USA",235824902,1273282,18692,84233,NA,485008,685349,10608473,2984434,6591874,1032165
1985,"USA","USA",237923795,1327767,18976,87671,NA,497874,723246,11102590,3073348,6926380,1102862
1986,"USA","USA",240132887,1489169,20613,91459,NA,542775,834322,11722700,3241410,7257153,1224137
1987,"USA","USA",242288918,1483999,20096,91111,NA,517704,855088,12024709,3236184,7499851,1288674
1988,"USA","USA",244498982,1566221,20675,92486,NA,542968,910092,12356865,3218077,7705872,1432916
1989,"USA","USA",246819230,1646037,21500,94504,NA,578326,951707,12605412,3168170,7872442,1564800
1990,"USA","USA",249464396,1820127,23438,102555,NA,639271,1054863,12655486,3073909,7945670,1635907
1991,"USA","USA",252153092,1911767,24703,106593,NA,687732,1092739,12961116,3157150,8142228,1661738
1992,"USA","USA",255029699,1932274,23760,109062,NA,672478,1126974,12505917,2979884,7915199,1610834
1993,"USA","USA",257782608,1926017,24526,106014,NA,659870,1135607,12218777,2834808,7820909,1563060
1994,"USA","USA",260327021,1857670,23326,102216,NA,618949,1113179,12131873,2712774,7879812,1539287
1995,"USA","USA",262803276,1798792,21606,97470,NA,580509,1099207,12063935,2593784,7997710,1472441
1996,"USA","USA",265228572,1688540,19645,96252,NA,535594,1037049,11805323,2506400,7904685,1394238
1997,"USA","USA",267783607,1636099,18211,96153,NA,498534,1023201,11558975,2461026,7743760,1354189
1998,"USA","USA",270248003,1533887,16974,93144,NA,447186,976583,10951827,2332735,7376311,1242781
1999,"USA","USA",272690813,1426044,15522,89411,NA,409371,911740,10208334,2100739,6955520,1152075
2000,"USA","USA",281421906,1425486,15586,90178,NA,408016,911706,10182584,2050992,6971590,1160002
2001,"USA","USA",285317559,1439480,16037,90863,NA,423557,909023,10437189,2116531,7092267,1228391
2002,"USA","USA",287973924,1423677,16229,95235,NA,420806,891407,10455277,2151252,7057379,1246646
2003,"USA","USA",290788976,1383676,16528,93883,NA,414235,859030,10442862,2154834,7026802,1261226
2004,"USA","USA",293656842,1360088,16148,95089,NA,401470,847381,10319386,2144446,6937089,1237851
2005,"USA","USA",296507061,1390745,16740,94347,NA,417438,862220,10174754,2155448,6783447,1235859
2006,"USA","USA",299398484,1435123,17309,94472,NA,449246,874096,10019601,2194993,6626363,1198245
2007,"USA","USA",301621157,1422970,17128,92160,NA,447324,866358,9882212,2190198,6591542,1100472
2008,"USA","USA",304059724,1394461,16465,90750,NA,443563,843683,9774152,2228887,6586206,959059
2009,"USA","USA",307006550,1325896,15399,89241,NA,408742,812514,9337060,2203313,6338095,795652
2010,"USA","USA",309330219,1251248,14722,85593,NA,369089,781844,9112625,2168459,6204601,739565
2011,"USA","USA",311587816,1206031,14661,84175,NA,354772,752423,9052743,2185140,6151095,716508
2012,"USA","USA",313873685,1217057,14856,85141,NA,355051,762009,9001992,2109932,6168874,723186
2013,"USA","USA",316497531,1168298,14319,82109,113695,345093,726777,8651892,1932139,6019465,700288
2014,"USA","USA",318907401,1153022,14164,84864,118027,322905,731089,8209010,1713153,5809054,686803
2015,"USA","USA",320896618,1199310,15883,91261,126134,328109,764057,8024115,1587564,5723488,713063
2016,"USA","USA",323405935,1285606,17413,96970,132414,332797,802982,7928530,1516405,5644835,767290
2021,"USA","USA",332031554,1284885,22536,NA,140902,217550,903897,6083874,899369,4334764,849741
2022,"USA","USA",333287557,1295605,21781,NA,140384,223511,909929,6578281,908900,4721262,948119
2023,"USA","USA",334914895,1253813,19252,NA,127216,222795,884550,6419149,839563,4512064,1067522
